States,Latitude,Longitude,Population(inThousands) ,RuralPopulation,UrbanPopulation,PopulationDensity,BirthRate,DeathRate,GenderRatio,LiteracyRate,PovertyRate
Andaman And Nicobar (1),11.66702557,92.73598262,381,237,143,46,15.6,4.6,876,86.63,9.2
Andhra Pradesh,14.7504291,78.57002559,84581,56362,28219,308,17.9,7.5,993,67.02,34.7
Arunachal Pradesh (1),27.10039878,93.61660071,1384,1066,317,17,20.5,5.8,938,65.39,32
Assam (6),26.7499809,94.21666744,31206,26807,4399,398,23.2,8,958,72.19,33.7
Bihar (6),25.78541445,87.4799727,104099,92341,11758,1106,28.1,6.7,918,61.8,39.9
Chandigarh (1),30.71999697,76.78000565,1055,29,1026,9258,15.6,4.1,818,86.05,5.1
Chhattisgarh (3),22.09042035,82.15998734,25545,19608,5937,189,25.3,7.9,991,70.28,16.6
Dadra And Nagar Haveli (12),20.26657819,73.0166178,344,183,161,700,26.6,4.6,774,76.24,11.2
Delhi (2),28.6699929,77.23000403,16788,419,16369,11320,17.8,4.3,868,86.21,10.4
Goa (1),15.491997,73.81800065,1459,552,907,394,13.2,6.7,973,88.7,37
Haryana (10),28.45000633,77.01999101,25351,16509,8842,573,22.3,6.5,879,75.55,7.1
Himachal Pradesh (2),31.10002545,77.16659704,6865,6176,689,123,16.9,6.7,972,82.8,31.7
Jammu And Kashmir (4),34.29995933,74.46665849,12541,9108,3433,124,18.3,5.5,889,67.16,17.4
Jharkhand (3),23.80039349,86.41998572,32988,25055,7933,414,25.3,6.9,948,66.41,36.9
Karnataka (16),12.57038129,76.91999711,61095,37469,23626,319,19.2,7.1,973,75.37,11.9
Kerala (5),8.900372741,76.56999263,33406,17471,15935,860,14.8,7,1084,94,20.4
Lakshadweep (1),10.56257331,72.63686717,64,14,50,2149,14.3,6.4,947,91.85,18.9
Madhya Pradesh (8),21.30039105,76.13001949,72627,52557,20069,236,27.3,8.2,931,69.32,32.6
Maharashtra (20),19.25023195,73.16017493,112374,61556,50818,365,17.1,6.3,929,82.34,8.3
Manipur (1),24.79997072,93.95001705,2856,1736,834,115,14.9,4.1,992,76.9,14.7
Meghalaya (1),25.57049217,91.8800142,2967,2371,595,132,24.5,7.8,989,74.43,8.2
Mizoram (1),23.71039899,92.72001461,1097,525,572,52,17.1,4.4,976,91.33,11.3
Nagaland (1),25.6669979,94.11657019,1979,1408,571,119,16.8,3.3,931,79.6,14.1
Orissa (6),19.82042971,85.90001746,41974,34971,7004,270,20.5,8.5,979,72.89,11.3
Puducherry (1),11.93499371,79.83000037,1248,395,853,2547,16.7,7.2,1037,85.85,29.4
Punjab (6),31.51997398,75.98000281,27743,17344,10399,551,16.6,6.8,895,75.84,20
Rajasthan (12),26.44999921,74.63998124,68548,51500,17048,200,26.7,6.7,928,66.11,1
Sikkim (1),27.3333303,88.6166475,611,457,154,86,17.8,5.6,890,81.42,21.8
Tamil Nadu (19),12.92038576,79.15004187,72147,37230,34917,555,15.9,7.4,996,80.09,39.3
Tripura (1),23.83540428,91.27999914,3674,2712,961,350,14.9,5,960,87.22,9.9
Uttar Pradesh (29),27.59998069,78.05000565,199812,155317,44495,829,28.3,7.9,912,67.68,9.9
Uttaranchal (1),30.32040895,78.05000565,10086,7037,3049,189,19.3,6.2,963,78.82,2.8
West Bengal (10),22.58039044,88.32994665,91276,62183,29093,1028,16.8,6.2,950,76.26,9.7
